,Mkt-RF,SMB,HML,RF
200806,   -8.44,    1.32,   -2.47,    0.17
200807,   -0.77,    2.44,    5.89,    0.15
200808,    1.53,    3.61,    1.57,    0.13
200809,   -9.24,   -1.11,    6.26,    0.15
200810,  -17.23,   -2.25,   -2.75,    0.08
200811,   -7.86,   -3.01,   -5.85,    0.03
200812,    1.74,    3.62,   -0.21,    0.00
200901,   -8.12,    0.10,  -11.25,    0.00
200902,  -10.10,    0.15,   -7.27,    0.01
200903,    8.95,   -0.10,    3.62,    0.02
200904,   10.19,    4.74,    5.44,    0.01
200905,    5.21,   -2.35,   -0.14,    0.00
200906,    0.43,    2.60,   -2.66,    0.01
200907,    7.72,    2.05,    5.22,    0.01
200908,    3.33,   -0.81,    7.85,    0.01
200909,    4.08,    2.49,    0.97,    0.01
200910,   -2.59,   -4.29,   -4.26,    0.00
200911,    5.56,   -2.48,   -0.12,    0.00
200912,    2.75,    6.11,    0.00,    0.01
201001,   -3.36,    0.37,    0.30,    0.00
201002,    3.40,    1.19,    3.18,    0.00
201003,    6.31,    1.49,    2.15,    0.01
201004,    2.00,    4.99,    2.83,    0.01
201005,   -7.89,    0.00,   -2.41,    0.01
201006,   -5.56,   -2.01,   -4.52,    0.01
201007,    6.93,    0.21,   -0.21,    0.01
201008,   -4.77,   -2.99,   -1.96,    0.01
201009,    9.54,    3.92,   -3.12,    0.01
201010,    3.88,    1.14,   -2.52,    0.01
201011,    0.60,    3.68,   -0.91,    0.01
201012,    6.82,    0.68,    3.78,    0.01
201101,    1.99,   -2.48,    0.82,    0.01
201102,    3.49,    1.53,    1.10,    0.01
201103,    0.45,    2.58,   -1.57,    0.01
201104,    2.90,   -0.31,   -2.53,    0.00
201105,   -1.27,   -0.72,   -2.09,    0.00
201106,   -1.75,   -0.20,   -0.33,    0.00
201107,   -2.36,   -1.34,   -1.16,    0.00
201108,   -5.99,   -3.03,   -2.40,    0.01
201109,   -7.59,   -3.54,   -1.37,    0.00
201110,   11.35,    3.44,   -0.22,    0.00
201111,   -0.28,   -0.18,   -0.42,    0.00
201112,    0.74,   -0.67,    1.71,    0.00
201201,    5.05,    2.15,   -1.11,    0.00
201202,    4.42,   -1.72,    0.11,    0.00
201203,    3.11,   -0.63,    0.89,    0.00
201204,   -0.85,   -0.54,   -0.46,    0.00
201205,   -6.19,    0.00,   -0.52,    0.01
201206,    3.89,    0.79,    0.41,    0.00
201207,    0.79,   -2.60,   -0.25,    0.00
201208,    2.55,    0.39,    1.34,    0.01
201209,    2.73,    0.48,    1.57,    0.01
201210,   -1.76,   -1.09,    3.64,    0.01
